FIT: {'loss': [0.9841973781585693], 'accuracy': [0.7177366614341736]}
EVALUATE: {'loss': [0.16650089621543884], 'accuracy': [0.9574088454246521]}
FIT: {'loss': [0.1787223517894745], 'accuracy': [0.9477519392967224]}
EVALUATE: {'loss': [0.04389583691954613], 'accuracy': [0.9905636310577393]}
FIT: {'loss': [0.13792458176612854], 'accuracy': [0.958391010761261]}
EVALUATE: {'loss': [0.028847750276327133], 'accuracy': [0.9933690428733826]}
FIT: {'loss': [0.153868168592453], 'accuracy': [0.9540916681289673]}
EVALUATE: {'loss': [0.033044397830963135], 'accuracy': [0.9909886717796326]}
FIT: {'loss': [0.117549367249012], 'accuracy': [0.9649128913879395]}
EVALUATE: {'loss': [0.04378744587302208], 'accuracy': [0.9888634085655212]}
FIT: {'loss': [0.11232346296310425], 'accuracy': [0.9656416177749634]}
EVALUATE: {'loss': [0.02496166154742241], 'accuracy': [0.994219183921814]}
