FIT: {'loss': [0.9744777679443359], 'accuracy': [0.7246957421302795]}
EVALUATE: {'loss': [0.21106792986392975], 'accuracy': [0.9381110072135925]}
FIT: {'loss': [0.20889917016029358], 'accuracy': [0.9355097413063049]}
EVALUATE: {'loss': [0.044799093157052994], 'accuracy': [0.986993134021759]}
FIT: {'loss': [0.2014053761959076], 'accuracy': [0.9402098655700684]}
EVALUATE: {'loss': [0.0427246168255806], 'accuracy': [0.9881832599639893]}
FIT: {'loss': [0.1676156371831894], 'accuracy': [0.9481163024902344]}
EVALUATE: {'loss': [0.04083931818604469], 'accuracy': [0.9897134900093079]}
FIT: {'loss': [0.14994724094867706], 'accuracy': [0.9558405876159668]}
EVALUATE: {'loss': [0.03234269097447395], 'accuracy': [0.9909036755561829]}
FIT: {'loss': [0.140863835811615], 'accuracy': [0.9576258659362793]}
EVALUATE: {'loss': [0.030754579231142998], 'accuracy': [0.9931139945983887]}
FIT: {'loss': [0.12044151872396469], 'accuracy': [0.9637105464935303]}
EVALUATE: {'loss': [0.030735785141587257], 'accuracy': [0.991838812828064]}
