FIT: {'loss': [1.006162405014038], 'accuracy': [0.7177366614341736]}
EVALUATE: {'loss': [0.15074536204338074], 'accuracy': [0.9629346132278442]}
FIT: {'loss': [0.270791620016098], 'accuracy': [0.9181301593780518]}
EVALUATE: {'loss': [0.06687245517969131], 'accuracy': [0.9808722138404846]}
FIT: {'loss': [0.21093721687793732], 'accuracy': [0.9381330609321594]}
EVALUATE: {'loss': [0.04294215887784958], 'accuracy': [0.9902235865592957]}
FIT: {'loss': [0.20321467518806458], 'accuracy': [0.9398090839385986]}
EVALUATE: {'loss': [0.03874855861067772], 'accuracy': [0.9900535345077515]}
FIT: {'loss': [0.1721346527338028], 'accuracy': [0.9489178657531738]}
EVALUATE: {'loss': [0.06099618971347809], 'accuracy': [0.985802948474884]}
FIT: {'loss': [0.15777559578418732], 'accuracy': [0.9523428082466125]}
EVALUATE: {'loss': [0.0364077165722847], 'accuracy': [0.9921788573265076]}
FIT: {'loss': [0.13848017156124115], 'accuracy': [0.9597391486167908]}
EVALUATE: {'loss': [0.02801561914384365], 'accuracy': [0.9931139945983887]}
FIT: {'loss': [0.13452176749706268], 'accuracy': [0.9613058567047119]}
EVALUATE: {'loss': [0.03685084730386734], 'accuracy': [0.989458441734314]}
