FIT: {'loss': [1.0142518281936646], 'accuracy': [0.7115062475204468]}
EVALUATE: {'loss': [0.1815313845872879], 'accuracy': [0.9568987488746643]}
FIT: {'loss': [0.2778981328010559], 'accuracy': [0.9166727662086487]}
EVALUATE: {'loss': [0.06553322076797485], 'accuracy': [0.9843577146530151]}
FIT: {'loss': [0.15958304703235626], 'accuracy': [0.9535815715789795]}
EVALUATE: {'loss': [0.06507270783185959], 'accuracy': [0.9835926294326782]}
FIT: {'loss': [0.15776300430297852], 'accuracy': [0.9541645646095276]}
EVALUATE: {'loss': [0.025302916765213013], 'accuracy': [0.9931989908218384]}
FIT: {'loss': [0.14114999771118164], 'accuracy': [0.9583545923233032]}
EVALUATE: {'loss': [0.0246274396777153], 'accuracy': [0.9943891763687134]}
FIT: {'loss': [0.12524843215942383], 'accuracy': [0.9635283946990967]}
EVALUATE: {'loss': [0.04291730746626854], 'accuracy': [0.9893734455108643]}
FIT: {'loss': [0.11631176620721817], 'accuracy': [0.9661517143249512]}
EVALUATE: {'loss': [0.022747749462723732], 'accuracy': [0.9944741725921631]}
