FIT: {'loss': [0.9537915587425232], 'accuracy': [0.7293230295181274]}
EVALUATE: {'loss': [0.15689031779766083], 'accuracy': [0.9559636116027832]}
FIT: {'loss': [0.19333596527576447], 'accuracy': [0.9414122104644775]}
EVALUATE: {'loss': [0.04318452998995781], 'accuracy': [0.9890334010124207]}
FIT: {'loss': [0.14898772537708282], 'accuracy': [0.9562413692474365]}
EVALUATE: {'loss': [0.032514795660972595], 'accuracy': [0.9908186793327332]}
FIT: {'loss': [0.17435409128665924], 'accuracy': [0.9473147392272949]}
EVALUATE: {'loss': [0.053494106978178024], 'accuracy': [0.9861429929733276]}
FIT: {'loss': [0.1611676812171936], 'accuracy': [0.9512497186660767]}
EVALUATE: {'loss': [0.030680382624268532], 'accuracy': [0.9917538166046143]}
FIT: {'loss': [0.120892733335495], 'accuracy': [0.9642206430435181]}
EVALUATE: {'loss': [0.027478858828544617], 'accuracy': [0.993028998374939]}
