FIT: {'loss': [1.0034785270690918], 'accuracy': [0.7139838337898254]}
EVALUATE: {'loss': [0.18354912102222443], 'accuracy': [0.9453370571136475]}
FIT: {'loss': [0.2954227030277252], 'accuracy': [0.9087298512458801]}
EVALUATE: {'loss': [0.05948513373732567], 'accuracy': [0.9837626218795776]}
FIT: {'loss': [0.22285287082195282], 'accuracy': [0.934781014919281]}
EVALUATE: {'loss': [0.04271254688501358], 'accuracy': [0.9880132675170898]}
FIT: {'loss': [0.20446115732192993], 'accuracy': [0.939517617225647]}
EVALUATE: {'loss': [0.05746661499142647], 'accuracy': [0.9848678112030029]}
FIT: {'loss': [0.18740615248680115], 'accuracy': [0.944764256477356]}
EVALUATE: {'loss': [0.0539802648127079], 'accuracy': [0.9868230819702148]}
FIT: {'loss': [0.1949690580368042], 'accuracy': [0.9410114288330078]}
EVALUATE: {'loss': [0.04104642942547798], 'accuracy': [0.9902235865592957]}
