FIT: {'loss': [1.0051476955413818], 'accuracy': [0.7158420085906982]}
EVALUATE: {'loss': [0.15851715207099915], 'accuracy': [0.9602142572402954]}
FIT: {'loss': [0.28142252564430237], 'accuracy': [0.9139400720596313]}
EVALUATE: {'loss': [0.07026723772287369], 'accuracy': [0.9846977591514587]}
FIT: {'loss': [0.28474658727645874], 'accuracy': [0.91372150182724]}
EVALUATE: {'loss': [0.08297617733478546], 'accuracy': [0.9811272621154785]}
FIT: {'loss': [0.16601261496543884], 'accuracy': [0.9507396221160889]}
EVALUATE: {'loss': [0.04405916482210159], 'accuracy': [0.9920088648796082]}
FIT: {'loss': [0.12823963165283203], 'accuracy': [0.961050808429718]}
EVALUATE: {'loss': [0.032009027898311615], 'accuracy': [0.9905636310577393]}
FIT: {'loss': [0.10183338820934296], 'accuracy': [0.9695765972137451]}
EVALUATE: {'loss': [0.024700051173567772], 'accuracy': [0.9933690428733826]}
