FIT: {'loss': [1.0368026494979858], 'accuracy': [0.7047292590141296]}
EVALUATE: {'loss': [0.17651495337486267], 'accuracy': [0.9496726989746094]}
FIT: {'loss': [0.307383269071579], 'accuracy': [0.9058879017829895]}
EVALUATE: {'loss': [0.08406101167201996], 'accuracy': [0.979341983795166]}
FIT: {'loss': [0.279071569442749], 'accuracy': [0.9134664535522461]}
EVALUATE: {'loss': [0.06361036747694016], 'accuracy': [0.983422577381134]}
FIT: {'loss': [0.1733016073703766], 'accuracy': [0.944764256477356]}
EVALUATE: {'loss': [0.038561560213565826], 'accuracy': [0.9904786348342896]}
FIT: {'loss': [0.13354940712451935], 'accuracy': [0.9608321785926819]}
EVALUATE: {'loss': [0.032265715301036835], 'accuracy': [0.9920938611030579]}
FIT: {'loss': [0.10464558750391006], 'accuracy': [0.9685199856758118]}
EVALUATE: {'loss': [0.02394542284309864], 'accuracy': [0.9937090873718262]}
FIT: {'loss': [0.08581054955720901], 'accuracy': [0.9739124178886414]}
EVALUATE: {'loss': [0.01715906336903572], 'accuracy': [0.9956643581390381]}
