FIT: {'loss': [0.9967631697654724], 'accuracy': [0.7191211581230164]}
EVALUATE: {'loss': [0.16205322742462158], 'accuracy': [0.9585989713668823]}
FIT: {'loss': [0.30788952112197876], 'accuracy': [0.9079282879829407]}
EVALUATE: {'loss': [0.07518194615840912], 'accuracy': [0.9809572100639343]}
FIT: {'loss': [0.20945598185062408], 'accuracy': [0.9376593828201294]}
EVALUATE: {'loss': [0.04816780611872673], 'accuracy': [0.986993134021759]}
FIT: {'loss': [0.15245464444160461], 'accuracy': [0.954492449760437]}
EVALUATE: {'loss': [0.03759337216615677], 'accuracy': [0.9907336831092834]}
FIT: {'loss': [0.12401799112558365], 'accuracy': [0.9633461833000183]}
EVALUATE: {'loss': [0.021459417417645454], 'accuracy': [0.994729220867157]}
FIT: {'loss': [0.10811252146959305], 'accuracy': [0.9690665602684021]}
EVALUATE: {'loss': [0.021430153399705887], 'accuracy': [0.9946442246437073]}
