FIT: {'loss': [1.0107440948486328], 'accuracy': [0.7134008407592773]}
EVALUATE: {'loss': [0.16441786289215088], 'accuracy': [0.9578338861465454]}
FIT: {'loss': [0.28012946248054504], 'accuracy': [0.9153975248336792]}
EVALUATE: {'loss': [0.06117970496416092], 'accuracy': [0.9872481226921082]}
FIT: {'loss': [0.21254481375217438], 'accuracy': [0.9362384080886841]}
EVALUATE: {'loss': [0.04619385674595833], 'accuracy': [0.9880132675170898]}
FIT: {'loss': [0.13589414954185486], 'accuracy': [0.9603949785232544]}
EVALUATE: {'loss': [0.031019363552331924], 'accuracy': [0.9926889538764954]}
FIT: {'loss': [0.10959972441196442], 'accuracy': [0.9690665602684021]}
EVALUATE: {'loss': [0.022005900740623474], 'accuracy': [0.9945592284202576]}
FIT: {'loss': [0.08424638956785202], 'accuracy': [0.9748597145080566]}
EVALUATE: {'loss': [0.02053423784673214], 'accuracy': [0.9946442246437073]}
