FIT: {'loss': [2.8107452392578125], 'accuracy': [0.3021276593208313]}
EVALUATE: {'loss': [2.409665822982788], 'accuracy': [0.38181817531585693]}
FIT: {'loss': [2.6255738735198975], 'accuracy': [0.3329787254333496]}
EVALUATE: {'loss': [2.1587655544281006], 'accuracy': [0.5045454502105713]}
FIT: {'loss': [2.6016733646392822], 'accuracy': [0.33191490173339844]}
EVALUATE: {'loss': [2.0096685886383057], 'accuracy': [0.47727271914482117]}
FIT: {'loss': [2.585557460784912], 'accuracy': [0.3446808457374573]}
EVALUATE: {'loss': [2.231675386428833], 'accuracy': [0.4636363685131073]}
FIT: {'loss': [2.4286558628082275], 'accuracy': [0.37021276354789734]}
EVALUATE: {'loss': [2.119175910949707], 'accuracy': [0.5]}
FIT: {'loss': [2.3296470642089844], 'accuracy': [0.39787232875823975]}
EVALUATE: {'loss': [1.869845986366272], 'accuracy': [0.47727271914482117]}
