FIT: {'loss': [2.9109203815460205], 'accuracy': [0.27331188321113586]}
EVALUATE: {'loss': [2.479351758956909], 'accuracy': [0.4000000059604645]}
FIT: {'loss': [2.6741976737976074], 'accuracy': [0.3279742896556854]}
EVALUATE: {'loss': [2.564248561859131], 'accuracy': [0.42307692766189575]}
FIT: {'loss': [2.5826289653778076], 'accuracy': [0.3649517595767975]}
EVALUATE: {'loss': [2.410944938659668], 'accuracy': [0.4692307710647583]}
FIT: {'loss': [2.3323066234588623], 'accuracy': [0.3938906788825989]}
EVALUATE: {'loss': [2.11369252204895], 'accuracy': [0.48461538553237915]}
FIT: {'loss': [2.579599618911743], 'accuracy': [0.34405145049095154]}
EVALUATE: {'loss': [1.7613739967346191], 'accuracy': [0.5]}
FIT: {'loss': [2.384773015975952], 'accuracy': [0.3794212341308594]}
EVALUATE: {'loss': [2.0290277004241943], 'accuracy': [0.5461538434028625]}
FIT: {'loss': [2.3604118824005127], 'accuracy': [0.3954983949661255]}
EVALUATE: {'loss': [2.0544049739837646], 'accuracy': [0.5076923370361328]}
FIT: {'loss': [2.2769408226013184], 'accuracy': [0.4147909879684448]}
EVALUATE: {'loss': [1.7761987447738647], 'accuracy': [0.5076923370361328]}
