FIT: {'loss': [3.22768497467041], 'accuracy': [0.20670391619205475]}
EVALUATE: {'loss': [3.1245076656341553], 'accuracy': [0.23076923191547394]}
FIT: {'loss': [2.767910957336426], 'accuracy': [0.3016759753227234]}
EVALUATE: {'loss': [2.4443981647491455], 'accuracy': [0.4423076808452606]}
FIT: {'loss': [2.6016178131103516], 'accuracy': [0.31284916400909424]}
EVALUATE: {'loss': [2.339796543121338], 'accuracy': [0.5]}
FIT: {'loss': [2.6127898693084717], 'accuracy': [0.33519554138183594]}
EVALUATE: {'loss': [2.4893224239349365], 'accuracy': [0.3461538553237915]}
FIT: {'loss': [2.56394362449646], 'accuracy': [0.35754188895225525]}
EVALUATE: {'loss': [2.5840578079223633], 'accuracy': [0.4423076808452606]}
FIT: {'loss': [2.5360729694366455], 'accuracy': [0.3631284832954407]}
EVALUATE: {'loss': [2.3534281253814697], 'accuracy': [0.5192307829856873]}
FIT: {'loss': [2.607102632522583], 'accuracy': [0.40223464369773865]}
EVALUATE: {'loss': [2.2784574031829834], 'accuracy': [0.48076921701431274]}
