FIT: {'loss': [3.239933967590332], 'accuracy': [0.20388349890708923]}
EVALUATE: {'loss': [3.373427629470825], 'accuracy': [0.20588235557079315]}
FIT: {'loss': [2.676219940185547], 'accuracy': [0.3446601927280426]}
EVALUATE: {'loss': [2.427610397338867], 'accuracy': [0.5]}
FIT: {'loss': [2.9551281929016113], 'accuracy': [0.22815534472465515]}
EVALUATE: {'loss': [2.6991126537323], 'accuracy': [0.4117647111415863]}
FIT: {'loss': [2.611341714859009], 'accuracy': [0.3689320385456085]}
EVALUATE: {'loss': [2.311448812484741], 'accuracy': [0.38235294818878174]}
FIT: {'loss': [2.713277578353882], 'accuracy': [0.3203883469104767]}
EVALUATE: {'loss': [3.139893054962158], 'accuracy': [0.11764705926179886]}
FIT: {'loss': [2.4359302520751953], 'accuracy': [0.38349515199661255]}
EVALUATE: {'loss': [1.8170987367630005], 'accuracy': [0.529411792755127]}
