FIT: {'loss': [3.036747455596924], 'accuracy': [0.24731183052062988]}
EVALUATE: {'loss': [2.759829044342041], 'accuracy': [0.3298968970775604]}
FIT: {'loss': [2.8325371742248535], 'accuracy': [0.2943548262119293]}
EVALUATE: {'loss': [2.5278851985931396], 'accuracy': [0.46048110723495483]}
FIT: {'loss': [2.789980888366699], 'accuracy': [0.323924720287323]}
EVALUATE: {'loss': [2.473963737487793], 'accuracy': [0.40893471240997314]}
FIT: {'loss': [2.7731740474700928], 'accuracy': [0.30645161867141724]}
EVALUATE: {'loss': [2.217877149581909], 'accuracy': [0.46048110723495483]}
FIT: {'loss': [2.6381478309631348], 'accuracy': [0.3360215127468109]}
EVALUATE: {'loss': [2.476644515991211], 'accuracy': [0.3814432919025421]}
FIT: {'loss': [2.3481340408325195], 'accuracy': [0.38575267791748047]}
EVALUATE: {'loss': [2.0080485343933105], 'accuracy': [0.47079038619995117]}
FIT: {'loss': [2.2440407276153564], 'accuracy': [0.40591397881507874]}
EVALUATE: {'loss': [1.8673672676086426], 'accuracy': [0.5120275020599365]}
