FIT: {'loss': [2.9953529834747314], 'accuracy': [0.25562700629234314]}
EVALUATE: {'loss': [2.5507190227508545], 'accuracy': [0.38461539149284363]}
FIT: {'loss': [2.6101746559143066], 'accuracy': [0.34405145049095154]}
EVALUATE: {'loss': [2.1592330932617188], 'accuracy': [0.4615384638309479]}
FIT: {'loss': [2.4585845470428467], 'accuracy': [0.3376205861568451]}
EVALUATE: {'loss': [1.9127322435379028], 'accuracy': [0.5692307949066162]}
FIT: {'loss': [2.237088680267334], 'accuracy': [0.43569132685661316]}
EVALUATE: {'loss': [1.840537667274475], 'accuracy': [0.5230769515037537]}
FIT: {'loss': [2.203413486480713], 'accuracy': [0.440514475107193]}
EVALUATE: {'loss': [1.9992328882217407], 'accuracy': [0.4923076927661896]}
FIT: {'loss': [1.9571480751037598], 'accuracy': [0.4726687967777252]}
EVALUATE: {'loss': [1.7224187850952148], 'accuracy': [0.5538461804389954]}
FIT: {'loss': [1.9991103410720825], 'accuracy': [0.4437299072742462]}
EVALUATE: {'loss': [1.5620180368423462], 'accuracy': [0.5923076868057251]}
FIT: {'loss': [1.933429479598999], 'accuracy': [0.4581993520259857]}
EVALUATE: {'loss': [1.5836410522460938], 'accuracy': [0.6307692527770996]}
