FIT: {'loss': [3.1614065170288086], 'accuracy': [0.21448467671871185]}
EVALUATE: {'loss': [2.9968864917755127], 'accuracy': [0.28823530673980713]}
FIT: {'loss': [2.8254482746124268], 'accuracy': [0.2506963908672333]}
EVALUATE: {'loss': [2.57706880569458], 'accuracy': [0.38235294818878174]}
FIT: {'loss': [2.728559732437134], 'accuracy': [0.320334255695343]}
EVALUATE: {'loss': [2.3799333572387695], 'accuracy': [0.42941176891326904]}
FIT: {'loss': [2.590940475463867], 'accuracy': [0.3091922104358673]}
EVALUATE: {'loss': [2.557935953140259], 'accuracy': [0.364705890417099]}
FIT: {'loss': [2.2220194339752197], 'accuracy': [0.4484679698944092]}
EVALUATE: {'loss': [2.0196497440338135], 'accuracy': [0.4882352948188782]}
FIT: {'loss': [2.0130791664123535], 'accuracy': [0.45682451128959656]}
EVALUATE: {'loss': [1.9726566076278687], 'accuracy': [0.5235294103622437]}
FIT: {'loss': [2.1430306434631348], 'accuracy': [0.43454039096832275]}
EVALUATE: {'loss': [2.0454609394073486], 'accuracy': [0.44117647409439087]}
