FIT: {'loss': [2.8322157859802246], 'accuracy': [0.28756290674209595]}
EVALUATE: {'loss': [2.3217930793762207], 'accuracy': [0.41450777649879456]}
FIT: {'loss': [2.468173027038574], 'accuracy': [0.34867003560066223]}
EVALUATE: {'loss': [1.8625257015228271], 'accuracy': [0.4715026021003723]}
FIT: {'loss': [2.3802897930145264], 'accuracy': [0.3968368172645569]}
EVALUATE: {'loss': [1.9238563776016235], 'accuracy': [0.4663212299346924]}
FIT: {'loss': [2.2695581912994385], 'accuracy': [0.40186914801597595]}
EVALUATE: {'loss': [1.8742362260818481], 'accuracy': [0.47668394446372986]}
FIT: {'loss': [2.2641870975494385], 'accuracy': [0.41624730825424194]}
EVALUATE: {'loss': [1.65236496925354], 'accuracy': [0.5388600826263428]}
FIT: {'loss': [2.2751991748809814], 'accuracy': [0.39036664366722107]}
EVALUATE: {'loss': [1.6428838968276978], 'accuracy': [0.5284973978996277]}
