FIT: {'loss': [3.071798324584961], 'accuracy': [0.24276527762413025]}
EVALUATE: {'loss': [2.7186570167541504], 'accuracy': [0.3384615480899811]}
FIT: {'loss': [2.7581286430358887], 'accuracy': [0.3118970990180969]}
EVALUATE: {'loss': [2.5506224632263184], 'accuracy': [0.3769230842590332]}
FIT: {'loss': [2.4880807399749756], 'accuracy': [0.35691317915916443]}
EVALUATE: {'loss': [2.2525575160980225], 'accuracy': [0.4000000059604645]}
FIT: {'loss': [2.5376365184783936], 'accuracy': [0.35852089524269104]}
EVALUATE: {'loss': [2.4800946712493896], 'accuracy': [0.36153846979141235]}
FIT: {'loss': [2.459681749343872], 'accuracy': [0.3858520984649658]}
EVALUATE: {'loss': [2.4149107933044434], 'accuracy': [0.38461539149284363]}
FIT: {'loss': [2.4156954288482666], 'accuracy': [0.40353697538375854]}
EVALUATE: {'loss': [2.042309045791626], 'accuracy': [0.4769230782985687]}
FIT: {'loss': [2.428927183151245], 'accuracy': [0.3826366662979126]}
EVALUATE: {'loss': [1.9870256185531616], 'accuracy': [0.5461538434028625]}
FIT: {'loss': [2.2787675857543945], 'accuracy': [0.4083601236343384]}
EVALUATE: {'loss': [2.0321805477142334], 'accuracy': [0.45384615659713745]}
