FIT: {'loss': [3.053494691848755], 'accuracy': [0.24645891785621643]}
EVALUATE: {'loss': [2.979722499847412], 'accuracy': [0.2688172161579132]}
FIT: {'loss': [2.693129301071167], 'accuracy': [0.300283282995224]}
EVALUATE: {'loss': [2.2310078144073486], 'accuracy': [0.4516128897666931]}
FIT: {'loss': [2.6033177375793457], 'accuracy': [0.3626062273979187]}
EVALUATE: {'loss': [2.10555362701416], 'accuracy': [0.5268816947937012]}
FIT: {'loss': [2.5846853256225586], 'accuracy': [0.3597733676433563]}
EVALUATE: {'loss': [2.5450377464294434], 'accuracy': [0.4301075339317322]}
FIT: {'loss': [2.4832301139831543], 'accuracy': [0.36827194690704346]}
EVALUATE: {'loss': [2.351853847503662], 'accuracy': [0.3978494703769684]}
FIT: {'loss': [2.502122640609741], 'accuracy': [0.3626062273979187]}
EVALUATE: {'loss': [2.375932455062866], 'accuracy': [0.3870967626571655]}
