Tipo: ENVIO | Node: RSU_100012 | MsgID: 5512 | Tempo: 21605.1
Tipo: COMMUNICATION_METRICS | Round: 1 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_0 | MsgID: -1 | Tempo: 21665.1
Tipo: COMMUNICATION_METRICS | Round: 1 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_3 | MsgID: -1 | Tempo: 21665.1
Tipo: DATA_QUALITY | Round: 1 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_0 | MsgID: -1 | Tempo: 21665.1
Tipo: DATA_QUALITY | Round: 1 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_3 | MsgID: -1 | Tempo: 21665.1
Tipo: ENVIO | Node: RSU_100012 | MsgID: 2698985 | Tempo: 21665.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_0 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_3 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_4 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_6 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_7 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_8 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_9 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_12 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_13 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_15 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_16 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_17 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_20 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_21 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_23 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_24 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_25 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_27 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_28 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_29 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_30 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_32 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_33 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_35 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_36 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_37 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_39 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_0 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_3 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_4 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_6 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_7 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_8 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_9 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_12 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_13 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_15 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_16 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_17 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_20 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_21 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_23 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_24 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_25 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_27 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_28 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_29 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_30 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_32 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_33 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_35 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_36 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_37 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_39 | MsgID: -1 | Tempo: 21725.1
Tipo: ENVIO | Node: RSU_100012 | MsgID: 13509509 | Tempo: 21725.1
Tipo: MODEL_LOCAL_RECEIVE | F1: 0.979015 | Latency: 0.000561 | Node: Vehicle_15 | MsgID: 50328 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_0 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_3 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_4 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_6 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_7 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_8 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_9 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_12 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_13 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 1 | PDR: 1.000000 | AvgLatency: 0.000561 | Node: Vehicle_15 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_16 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_17 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_20 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_21 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_23 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_24 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_25 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_27 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_28 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_29 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_30 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_32 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_33 | MsgID: -1 | Tempo: 21785.1
