Tipo: ENVIO | Node: RSU_100015 | MsgID: 5515 | Tempo: 21605.1
Tipo: MODEL_LOCAL_RECEIVE | F1: 0.982952 | Latency: 0.000450 | Node: Vehicle_1 | MsgID: 106 | Tempo: 21605.1
Tipo: COMMUNICATION_METRICS | Round: 1 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_0 | MsgID: -1 | Tempo: 21665.1
Tipo: COMMUNICATION_METRICS | Round: 1 | Sent: 1 | Received: 1 | PDR: 1.000000 | AvgLatency: 0.000450 | Node: Vehicle_1 | MsgID: -1 | Tempo: 21665.1
Tipo: DATA_QUALITY | Round: 1 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_0 | MsgID: -1 | Tempo: 21665.1
Tipo: DATA_QUALITY | Round: 1 | F1: 0.982952 | PDR: 1.000000 | LatencyScore: 0.999550 | DQScore: 0.991364 | Node: Vehicle_1 | MsgID: -1 | Tempo: 21665.1
Tipo: ENVIO | Node: RSU_100015 | MsgID: 2698988 | Tempo: 21665.1
Tipo: MODEL_LOCAL_RECEIVE | F1: 0.982952 | Latency: 0.000559 | Node: Vehicle_11 | MsgID: 15531 | Tempo: 21665.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_0 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_1 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_5 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_8 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_10 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 1 | PDR: 1.000000 | AvgLatency: 0.000559 | Node: Vehicle_11 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_14 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_16 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_26 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_27 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_28 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_31 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_34 | MsgID: -1 | Tempo: 21725.1
Tipo: COMMUNICATION_METRICS | Round: 2 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_38 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_0 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.982952 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.741476 | Node: Vehicle_1 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_5 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_8 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_10 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.982952 | PDR: 1.000000 | LatencyScore: 0.999441 | DQScore: 0.991336 | Node: Vehicle_11 | MsgID: -1 | Tempo: 21725.1
Tipo: DATA_QUALITY | Round: 2 | F1: 0.000000 | PDR: 0.000000 | LatencyScore: 1.000000 | DQScore: 0.250000 | Node: Vehicle_14 | MsgID: -1 | Tempo: 21725.1
