UPDATE_EVAL: {'loss': 0.19332453608512878, 'accuracy': 0.9407005906105042, 'precision': 0.9409065203674566, 'recall': 0.9407006170206716, 'f1_score': 0.9402158422715726, 'mcc': 0.9116082228868394, 'roc_auc': 0.9825961588173002, 'confusion_matrix': [[23140, 92, 212], [1137, 20655, 1655], [14, 1061, 22372]]}
UPDATE_EVAL: {'loss': 0.19332453608512878, 'accuracy': 0.9407005906105042, 'precision': 0.9409065203674566, 'recall': 0.9407006170206716, 'f1_score': 0.9402158422715726, 'mcc': 0.9116082228868394, 'roc_auc': 0.9825961588173002, 'confusion_matrix': [[23140, 92, 212], [1137, 20655, 1655], [14, 1061, 22372]]}
UPDATE_EVAL: {'loss': 0.19332453608512878, 'accuracy': 0.9407005906105042, 'precision': 0.9409065203674566, 'recall': 0.9407006170206716, 'f1_score': 0.9402158422715726, 'mcc': 0.9116082228868394, 'roc_auc': 0.9825961588173002, 'confusion_matrix': [[23140, 92, 212], [1137, 20655, 1655], [14, 1061, 22372]]}
UPDATE_EVAL: {'loss': 0.19332453608512878, 'accuracy': 0.9407005906105042, 'precision': 0.9409065203674566, 'recall': 0.9407006170206716, 'f1_score': 0.9402158422715726, 'mcc': 0.9116082228868394, 'roc_auc': 0.9825961588173002, 'confusion_matrix': [[23140, 92, 212], [1137, 20655, 1655], [14, 1061, 22372]]}
UPDATE_EVAL: {'loss': 0.19332453608512878, 'accuracy': 0.9407005906105042, 'precision': 0.9409065203674566, 'recall': 0.9407006170206716, 'f1_score': 0.9402158422715726, 'mcc': 0.9116082228868394, 'roc_auc': 0.9825961588173002, 'confusion_matrix': [[23140, 92, 212], [1137, 20655, 1655], [14, 1061, 22372]]}
UPDATE_EVAL: {'loss': 0.19332453608512878, 'accuracy': 0.9407005906105042, 'precision': 0.9409065203674566, 'recall': 0.9407006170206716, 'f1_score': 0.9402158422715726, 'mcc': 0.9116082228868394, 'roc_auc': 0.9825961588173002, 'confusion_matrix': [[23140, 92, 212], [1137, 20655, 1655], [14, 1061, 22372]]}
UPDATE_EVAL: {'loss': 0.19332453608512878, 'accuracy': 0.9407005906105042, 'precision': 0.9409065203674566, 'recall': 0.9407006170206716, 'f1_score': 0.9402158422715726, 'mcc': 0.9116082228868394, 'roc_auc': 0.9825961588173002, 'confusion_matrix': [[23140, 92, 212], [1137, 20655, 1655], [14, 1061, 22372]]}
UPDATE_EVAL: {'loss': 0.19332453608512878, 'accuracy': 0.9407005906105042, 'precision': 0.9409065203674566, 'recall': 0.9407006170206716, 'f1_score': 0.9402158422715726, 'mcc': 0.9116082228868394, 'roc_auc': 0.9825961588173002, 'confusion_matrix': [[23140, 92, 212], [1137, 20655, 1655], [14, 1061, 22372]]}
UPDATE_EVAL: {'loss': 0.19332453608512878, 'accuracy': 0.9407005906105042, 'precision': 0.9409065203674566, 'recall': 0.9407006170206716, 'f1_score': 0.9402158422715726, 'mcc': 0.9116082228868394, 'roc_auc': 0.9825961588173002, 'confusion_matrix': [[23140, 92, 212], [1137, 20655, 1655], [14, 1061, 22372]]}
UPDATE_EVAL: {'loss': 0.19332453608512878, 'accuracy': 0.9407005906105042, 'precision': 0.9409065203674566, 'recall': 0.9407006170206716, 'f1_score': 0.9402158422715726, 'mcc': 0.9116082228868394, 'roc_auc': 0.9825961588173002, 'confusion_matrix': [[23140, 92, 212], [1137, 20655, 1655], [14, 1061, 22372]]}
UPDATE_EVAL: {'loss': 0.19332453608512878, 'accuracy': 0.9407005906105042, 'precision': 0.9409065203674566, 'recall': 0.9407006170206716, 'f1_score': 0.9402158422715726, 'mcc': 0.9116082228868394, 'roc_auc': 0.9825961588173002, 'confusion_matrix': [[23140, 92, 212], [1137, 20655, 1655], [14, 1061, 22372]]}
UPDATE_EVAL: {'loss': 0.19332453608512878, 'accuracy': 0.9407005906105042, 'precision': 0.9409065203674566, 'recall': 0.9407006170206716, 'f1_score': 0.9402158422715726, 'mcc': 0.9116082228868394, 'roc_auc': 0.9825961588173002, 'confusion_matrix': [[23140, 92, 212], [1137, 20655, 1655], [14, 1061, 22372]]}
