Tipo: ENVIO | Node: RSU_100001 | MsgID: 189 | Tempo: 21601.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 433 | Tempo: 21602.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 921 | Tempo: 21603.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 1571 | Tempo: 21604.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 2390 | Tempo: 21605.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 3276 | Tempo: 21606.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 4617 | Tempo: 21607.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 5988 | Tempo: 21608.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 7547 | Tempo: 21609.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 9337 | Tempo: 21610.1
Tipo: RECEBIMENTO | Node: 7 | MsgID: 9844 | Tempo: 21610.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 11555 | Tempo: 21611.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 13721 | Tempo: 21612.1
Tipo: RECEBIMENTO | Node: 7 | MsgID: 14227 | Tempo: 21612.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 15972 | Tempo: 21613.1
Tipo: RECEBIMENTO | Node: 8 | MsgID: 16406 | Tempo: 21613.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 18412 | Tempo: 21614.1
Tipo: RECEBIMENTO | Node: 7 | MsgID: 19013 | Tempo: 21614.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 21155 | Tempo: 21615.1
Tipo: RECEBIMENTO | Node: 7 | MsgID: 21755 | Tempo: 21615.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 24035 | Tempo: 21616.1
Tipo: RECEBIMENTO | Node: 7 | MsgID: 24828 | Tempo: 21616.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 27971 | Tempo: 21617.1
Tipo: RECEBIMENTO | Node: 8 | MsgID: 28712 | Tempo: 21617.2
Tipo: ENVIO | Node: RSU_100001 | MsgID: 32613 | Tempo: 21618.1
Tipo: RECEBIMENTO | Node: 12 | MsgID: 33611 | Tempo: 21618.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 37591 | Tempo: 21619.1
Tipo: RECEBIMENTO | Node: 7 | MsgID: 38718 | Tempo: 21619.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 43219 | Tempo: 21620.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 49071 | Tempo: 21621.1
Tipo: RECEBIMENTO | Node: 12 | MsgID: 50284 | Tempo: 21621.3
Tipo: ENVIO | Node: RSU_100001 | MsgID: 55114 | Tempo: 21622.1
Tipo: ENVIO | Node: RSU_100001 | MsgID: 61351 | Tempo: 21623.1
