Tipo: ENVIO | Node: RSU_100000 | MsgID: 21848 | Tempo: 21618.1
Tipo: ENVIO | Node: RSU_100000 | MsgID: 25666 | Tempo: 21619.1
Tipo: RECEBIMENTO | Node: 15 | MsgID: 26489 | Tempo: 21619.3
Tipo: ENVIO | Node: RSU_100000 | MsgID: 30041 | Tempo: 21620.1
Tipo: RECEBIMENTO | Node: 15 | MsgID: 30895 | Tempo: 21620.3
Tipo: ENVIO | Node: RSU_100000 | MsgID: 34591 | Tempo: 21621.1
Tipo: RECEBIMENTO | Node: 15 | MsgID: 35476 | Tempo: 21621.3
Tipo: RECEBIMENTO | Node: 18 | MsgID: 38783 | Tempo: 21622
Tipo: ENVIO | Node: RSU_100000 | MsgID: 39298 | Tempo: 21622.1
Tipo: RECEBIMENTO | Node: 19 | MsgID: 41597 | Tempo: 21622.6
Tipo: ENVIO | Node: RSU_100000 | MsgID: 44243 | Tempo: 21623.1
Tipo: RECEBIMENTO | Node: 19 | MsgID: 46727 | Tempo: 21623.6
Tipo: ENVIO | Node: RSU_100000 | MsgID: 49514 | Tempo: 21624.1
Tipo: ENVIO | Node: RSU_100000 | MsgID: 54768 | Tempo: 21625.1
Tipo: RECEBIMENTO | Node: 15 | MsgID: 55757 | Tempo: 21625.3
Tipo: ENVIO | Node: RSU_100000 | MsgID: 60039 | Tempo: 21626.1
Tipo: RECEBIMENTO | Node: 15 | MsgID: 61028 | Tempo: 21626.3
Tipo: RECEBIMENTO | Node: 19 | MsgID: 62540 | Tempo: 21626.6
Tipo: ENVIO | Node: RSU_100000 | MsgID: 65327 | Tempo: 21627.1
Tipo: ENVIO | Node: RSU_100000 | MsgID: 70581 | Tempo: 21628.1
Tipo: RECEBIMENTO | Node: 15 | MsgID: 71570 | Tempo: 21628.3
Tipo: RECEBIMENTO | Node: 18 | MsgID: 75332 | Tempo: 21629
Tipo: ENVIO | Node: RSU_100000 | MsgID: 75923 | Tempo: 21629.1
Tipo: RECEBIMENTO | Node: 19 | MsgID: 78592 | Tempo: 21629.6
Tipo: ENVIO | Node: RSU_100000 | MsgID: 81687 | Tempo: 21630.1
Tipo: RECEBIMENTO | Node: 19 | MsgID: 84741 | Tempo: 21630.6
Tipo: ENVIO | Node: RSU_100000 | MsgID: 88212 | Tempo: 21631.1
Tipo: RECEBIMENTO | Node: 18 | MsgID: 94367 | Tempo: 21632
Tipo: ENVIO | Node: RSU_100000 | MsgID: 95107 | Tempo: 21632.1
Tipo: RECEBIMENTO | Node: 19 | MsgID: 98486 | Tempo: 21632.6
Tipo: ENVIO | Node: RSU_100000 | MsgID: 102238 | Tempo: 21633.1
Tipo: RECEBIMENTO | Node: 19 | MsgID: 105617 | Tempo: 21633.6
Tipo: ENVIO | Node: RSU_100000 | MsgID: 109403 | Tempo: 21634.1
Tipo: RECEBIMENTO | Node: 22 | MsgID: 114013 | Tempo: 21634.7
Tipo: ENVIO | Node: RSU_100000 | MsgID: 116808 | Tempo: 21635.1
Tipo: RECEBIMENTO | Node: 22 | MsgID: 121896 | Tempo: 21635.7
Tipo: ENVIO | Node: RSU_100000 | MsgID: 124943 | Tempo: 21636.1
Tipo: ENVIO | Node: RSU_100000 | MsgID: 133376 | Tempo: 21637.1
Tipo: RECEBIMENTO | Node: 15 | MsgID: 135091 | Tempo: 21637.3
Tipo: ENVIO | Node: RSU_100000 | MsgID: 142555 | Tempo: 21638.1
Tipo: RECEBIMENTO | Node: 15 | MsgID: 144452 | Tempo: 21638.3
Tipo: ENVIO | Node: RSU_100000 | MsgID: 152566 | Tempo: 21639.1
Tipo: RECEBIMENTO | Node: 15 | MsgID: 154463 | Tempo: 21639.3
Tipo: RECEBIMENTO | Node: 18 | MsgID: 161582 | Tempo: 21640
Tipo: ENVIO | Node: RSU_100000 | MsgID: 162599 | Tempo: 21640.1
Tipo: RECEBIMENTO | Node: 19 | MsgID: 167332 | Tempo: 21640.6
